"subn","word1","word2","trial","list","jol","jolrt","jolrank","jolrankp","practice","honor","choice","choicert","restudyresp","restudyacc","restudyrtfirst","restudyrt","response","testacc","rtfirst","rt"
"1265","caring","skirt",20,1,1,2.101,33,0.825,1,1,1,1.053,NA,NA,NA,NA,"skip",0,2.574,6.778
"1265","anger","decay",5,1,1,2.854,22,0.55,0,0,1,1.382,NA,NA,NA,NA,"skip",0,1.211,1.819
"1265","forest","knob",19,1,1,2.133,19,0.475,1,0,0,0.75,NA,NA,NA,NA,"knob",1,1.765,3.575
"1265","nerve","bumper",33,1,1,2.815,20,0.5,1,0,0,0.718,NA,NA,NA,NA,"skip",0,1.799,2.631
"1265","fan","feature",34,1,1,2.909,6,0.15,0,1,0,1.02,NA,NA,NA,NA,"skip",0,1.026,1.606
"1265","bleach","ruin",35,1,1,2.317,24,0.6,0,0,1,0.846,NA,NA,NA,NA,"skip",0,1.895,2.46
"1265","knock","otter",28,1,1,2.182,17,0.425,1,0,0,0.742,NA,NA,NA,NA,"skip",0,1.188,1.868
"1265","visit","glove",38,1,1,2.166,26,0.65,0,0,1,0.678,NA,NA,NA,NA,"skip",0,1.921,2.546
"1265","bias","sirloin",40,1,1,3.122,12,0.3,0,1,0,0.938,NA,NA,NA,NA,"skip",0,2.091,2.766
"1265","date","laugh",31,1,1,1.887,32,0.8,1,1,1,0.73,NA,NA,NA,NA,"skip",0,1.909,2.51
"1265","pea","bathtub",13,1,100,4.229,39,0.975,1,0,0,1.135,NA,NA,NA,NA,"bathroom",0,2.271,4.858
"1265","calf","annoy",2,1,1,4.852,1,0.025,0,0,1,3.915,NA,NA,NA,NA,"skip",0,2.135,2.806
"1265","chicken","beet",18,1,99,2.551,38,0.95,1,1,1,0.749,NA,NA,NA,NA,"beet",1,9.53,11.327
"1342","rock","milk",32,1,82,3.449,25,0.625,1,1,1,0.917,NA,NA,NA,NA,"milk",1,2.859,5.123
"1342","plant","worm",26,1,100,14.016,37,0.925,0,0,1,1.237,NA,NA,NA,NA,"worm",1,21.007,23.469
"1342","grip","beach",3,1,7,2.824,11,0.275,1,0,0,0.796,NA,NA,NA,NA,"glove",0,6.826,9.546
"1342","nerve","bumper",13,1,1,2.464,8,0.2,1,1,1,1.266,NA,NA,NA,NA,"bumps",0,10.265,14.391
"1342","glue","force",34,1,100,54.637,32,0.8,0,1,0,8.054,NA,NA,NA,NA,"force",1,11.717,13.798
"1342","bleach","ruin",5,1,41,6.991,20,0.5,0,1,0,1.459,NA,NA,NA,NA,"damage",0,9.451,13.573
"1342","mill","feast",24,1,77,97.411,24,0.6,1,1,1,0.931,NA,NA,NA,NA,"feast",1,28.529,30.899
"1342","collect","loyalty",10,1,24,2.692,15,0.375,0,1,0,0.908,NA,NA,NA,NA,"gold",0,2.224,4.707
"1342","calf","annoy",29,1,1,7.582,1,0.025,1,0,0,1.235,NA,NA,NA,NA,"utmost",0,2.002,4.196
"1342","date","laugh",1,1,100,3.153,39,0.975,0,0,1,1.365,NA,NA,NA,NA,"week",0,7.449,9.77
"1342","bias","sirloin",4,1,1,2.297,5,0.125,1,0,0,0.821,NA,NA,NA,NA,"meat",0,22.682,24.736
"1342","anger","decay",33,1,29,2.546,17,0.425,0,1,0,0.896,NA,NA,NA,NA,"mad",0,2.126,4.023
"1342","knock","otter",28,1,1,2.721,6,0.15,1,0,0,0.657,NA,NA,NA,NA,"door",0,1.016,3.628
"1342","shrink","mafia",12,1,90,12.03,28,0.7,1,1,1,0.767,NA,NA,NA,NA,"mafia",1,9.024,11.463
"1342","port","cinema",18,1,1,2.93,2,0.05,1,0,0,1.198,NA,NA,NA,NA,"climax",0,5.717,11.75
"1342","biology","temper",8,1,32,35.145,18,0.45,0,1,0,0.952,NA,NA,NA,NA,"books",0,20.336,22.478
"1342","bacon","feud",22,1,1,2.224,7,0.175,1,0,0,0.774,NA,NA,NA,NA,"eggs",0,19.142,21.488
"1342","smother","surgery",31,1,100,4.108,38,0.95,0,0,1,1.264,NA,NA,NA,NA,"surgery",1,18.844,21.696
"1342","prison","loaf",40,1,2,2.815,9,0.225,1,0,0,0.729,NA,NA,NA,NA,"bread",0,33.723,36.292
"1342","link","crisis",6,1,1,2.664,3,0.075,1,0,0,0.831,NA,NA,NA,NA,"crisis",1,5.985,8.471
"1342","fan","feature",14,1,100,2.266,40,1,0,0,1,0.785,NA,NA,NA,NA,"feature",1,1.261,5.559
"1342","want","ascent",16,1,100,66.529,33,0.825,0,0,1,1.377,NA,NA,NA,NA,"ascent",1,2.379,6.848
"1342","fee","chowder",9,1,73,10.701,23,0.575,1,1,1,1.069,NA,NA,NA,NA,"flounder",0,15.461,18.968
"1342","bullet","walkway",27,1,62,2.109,22,0.55,1,1,1,0.818,NA,NA,NA,NA,"stray",0,1.106,4.468
"1342","risk","zero",15,1,98,4.579,30,0.75,0,0,1,1.21,NA,NA,NA,NA,"zero",1,7.944,11.427
"1342","remind","foam",17,1,100,14.57,35,0.875,0,0,1,2.549,NA,NA,NA,NA,"foam",1,17.712,20.476
"1342","process","joker",2,1,35,44.049,19,0.475,1,1,1,16.238,NA,NA,NA,NA,"list",0,2.501,4.659
"1342","copy","bedroom",36,1,5,2.741,10,0.25,1,0,0,0.695,NA,NA,NA,NA,"paper",0,3.937,6.033
"1342","forest","knob",20,1,100,3.878,36,0.9,0,0,1,0.998,NA,NA,NA,NA,"knob",1,23.923,25.97
"1342","pea","bathtub",19,1,10,14.034,13,0.325,0,1,0,7.106,NA,NA,NA,NA,"bedroom",0,12.925,18.316
"1342","chicken","beet",21,1,86,2.474,27,0.675,1,1,1,0.866,NA,NA,NA,NA,"beef",0,15.129,17.749
"1342","need","faucet",38,1,14,2.85,14,0.35,0,1,0,0.738,NA,NA,NA,NA,"n/a",0,23.717,25.989
"1342","find","clown",30,1,26,4.507,16,0.4,0,1,0,4.85,NA,NA,NA,NA,"clown",1,5.577,9.113
"1342","replace","roach",23,1,100,4.707,34,0.85,0,0,1,1.124,NA,NA,NA,NA,"roach",1,6.427,9.058
"1342","capital","figure",11,1,90,2.94,29,0.725,0,0,1,0.85,NA,NA,NA,NA,"figure",1,21.617,27.306
"1342","caring","skirt",25,1,1,2.704,4,0.1,1,0,0,0.809,NA,NA,NA,NA,"skirt",1,2.835,5.808
"1342","pork","emperor",35,1,86,8.033,26,0.65,1,1,1,0.787,NA,NA,NA,NA,"emporer",0,6.074,8.981
"1342","visit","glove",7,1,59,43.988,21,0.525,1,1,1,1.211,NA,NA,NA,NA,"guest",0,11.145,13.63
"1342","banner","glide",39,1,9,45.314,12,0.3,0,1,0,1.002,NA,NA,NA,NA,"sign",0,11.314,17.354
"1342","climax","saucer",37,1,99,26.856,31,0.775,0,1,0,3.283,NA,NA,NA,NA,"plate",0,13.274,15.972
"1368","pork","emperor",22,1,15,8.443,26,0.65,1,1,1,8.313,NA,NA,NA,NA,"emperor",1,2.347,4.739
"1368","climax","saucer",5,1,8,2.665,14,0.35,0,1,0,1.344,NA,NA,NA,NA,"skip",0,5.191,8.083
"1368","pea","bathtub",11,1,70,2.518,38,0.95,0,0,1,1.193,NA,NA,NA,NA,"bathtub",1,1.351,2.579
"1368","smother","surgery",35,1,28,2.831,33,0.825,0,0,1,2.078,NA,NA,NA,NA,"surgeon",0,1.571,3.143
"1368","visit","glove",1,1,5,2.879,5,0.125,1,0,0,1.117,NA,NA,NA,NA,"skip",0,3.836,4.533
