"subn","word1","word2","jol","jolrt","trial","list","practice","jolrank","jolrankp","restudyresp","restudyacc","restudyrtfirst","restudyrt"
"1099","calf","annoy",68,1.676,23,3,0,36,0.9,"",NA,NA,NA
"1099","pork","emperor",55,1.4,24,3,1,21,0.525,"hind",0,NA,2.005
"1099","remind","foam",67,2.318,25,3,0,34,0.85,"",NA,NA,NA
"1099","risk","zero",59,1.885,26,3,0,26,0.65,"",NA,NA,NA
"1099","rock","milk",32,4.481,27,3,0,14,0.35,"",NA,NA,NA
"1099","process","joker",61,2.44,28,3,1,27,0.675,"information",0,NA,3.116
"1099","grip","beach",18,1.716,29,3,0,2,0.05,"",NA,NA,NA
"1099","bacon","feud",40,1.803,30,3,0,18,0.45,"",NA,NA,NA
"1099","replace","roach",57,1.795,31,3,1,25,0.625,"destroy",0,NA,2.954
"1099","chicken","beet",93,2.252,32,3,0,40,1,"",NA,NA,NA
"1099","find","clown",27,1.82,33,3,1,7,0.175,"call",0,NA,13.583
"1099","glue","force",65,1.955,34,3,0,30,0.75,"",NA,NA,NA
"1099","capital","figure",72,3.497,35,3,1,37,0.925,"gain",0,NA,1.533
"1099","plant","worm",57,1.477,36,3,0,24,0.6,"",NA,NA,NA
"1099","mill","feast",28,1.247,37,3,1,11,0.275,"rock",0,NA,2.471
"1099","prison","loaf",37,2.277,38,3,1,17,0.425,"call",0,NA,2.342
"1099","knock","otter",81,2.413,39,3,1,39,0.975,"wood",0,NA,1.992
"1099","bleach","ruin",19,2.206,40,3,1,3,0.075,"attack",0,NA,1.718
"1297","smother","surgery",1,3.787,1,1,1,31,0.775,"fire",0,NA,12.048
"1297","replace","roach",9,3.376,2,1,1,37,0.925,"tire",0,NA,5.264
"1297","port","cinema",1,1.534,3,1,0,30,0.75,"",NA,NA,NA
"1297","anger","decay",1,2.015,4,1,1,33,0.825,"file",0,NA,3.158
"1297","link","crisis",2,3.855,5,1,1,35,0.875,"past",0,NA,3.347
"1297","find","clown",1,1.541,6,1,1,27,0.675,"rescue",0,NA,2.908
"1297","glue","force",3,2.617,7,1,0,36,0.9,"",NA,NA,NA
"1297","fee","chowder",1,13.282,8,1,1,13,0.325,"title",0,NA,2.809
"1297","knock","otter",1,1.922,9,1,0,10,0.25,"",NA,NA,NA
"1297","nerve","bumper",1,1.58,10,1,1,17,0.425,"end",0,NA,2.61
"1297","collect","loyalty",1,1.476,11,1,0,26,0.65,"",NA,NA,NA
"1297","copy","bedroom",1,2.087,12,1,1,3,0.075,"paste",0,NA,2.415
