subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt,response,testacc,rtfirst,rt
31,fan,feature,67,1.732021305,18,5,1,30,0.75,feature,1,1.128569463,2.45652434,feature,1,2.640751333,4.176728928
31,anger,decay,71,1.165285222,19,5,0,33,0.825,,,,,decay,1,3.423835688,4.80784035
31,collect,loyalty,75,1.081676567,20,5,1,36,0.9,loyalty,1,10.39302267,16.4793553,loyalty,1,2.483362846,4.602877412
31,port,cinema,44,2.482199873,21,5,0,13,0.325,,,,, ,0,17.9373425,19.68132453
31,risk,zero,76,1.432154505,22,5,0,37,0.925,,,,,zero,1,1.914186636,3.442275194
31,need,faucet,43,3.066032238,23,5,1,12,0.3,facuey,0,2.648355881,8.012724709,laugh,0,18.81825836,20.21020786
31,date,laugh,80,1.648676934,24,5,1,38,0.95,laugh,1,1.244245512,2.964048224,laugh,1,0.572685977,1.546936676
31,bias,sirloin,40,1.18195942,25,5,0,9,0.225,,,,,bleach,0,5.732079679,6.900253731
31,banner,glide,23,6.666762672,26,5,1,2,0.05,glide,1,4.258040823,5.459917681, ,0,3.716934087,4.717676581
31,mill,feast,26,1.998769673,27,5,0,5,0.125,,,,,rock,0,1.14336706,4.391273725
31,process,joker,55,2.548907893,28,5,0,19,0.475,,,,, ,0,12.38368457,12.97562984
31,bleach,ruin,42,3.91597696,29,5,1,10,0.25, ,0,15.06563902,29.44925175,knock,0,2.939793853,8.131677674
31,forest,knob,45,3.482603995,30,5,1,14,0.35,knob,1,7.708576141,12.59648587, ,0,9.277254896,9.911940552
31,fee,chowder,22,1.531868701,31,5,0,1,0.025,,,,, ,0,10.93107733,12.4749616
31,link,crisis,61,2.132089172,32,5,1,24,0.6,crisis,1,1.593419356,3.361430284, ,0,8.65603965,9.040074461
31,bacon,feud,28,4.749553141,33,5,1,6,0.15,feud,1,5.27177744,6.655776329,feud,1,2.721126692,3.48911581
31,shrink,mafia,33,1.515382452,34,5,0,7,0.175,,,,, ,0,14.06509987,14.3328239
