subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp,restudyresp,restudyacc,restudyrtfirst,restudyrt
13,remind,foam,17,0.815059058,18,4,1,10,0.25,roach,0,12.01172787,13.77966151
13,bias,sirloin,16,0.631716643,19,4,0,9,0.225,,,,
13,bullet,walkway,99,1.532184301,20,4,0,37,0.925,,,,
13,capital,figure,89,1.081844951,21,4,1,32,0.8,figure,1,2.055598516,3.007993596
13,forest,knob,28,0.715338768,22,4,0,19,0.475,,,,
13,need,faucet,14,0.815094338,23,4,1,4,0.1,saucet,0,10.78913335,12.44515216
13,calf,annoy,23,0.56513435,24,4,1,18,0.45,annoy,1,1.39311697,4.641073027
13,pea,bathtub,16,0.965121713,25,4,1,6,0.15, ,0,3.268581991,8.988484129
13,shrink,mafia,74,0.581748892,26,4,0,25,0.625,,,,
13,prison,loaf,12,0.965051152,27,4,0,3,0.075,,,,
13,knock,otter,16,1.21522122,28,4,1,8,0.2, ,0,8.461012659,25.25251654
13,fan,feature,82,1.115334791,29,4,1,28,0.7,feature,1,1.891374595,3.347154517
13,nerve,bumper,40,0.848449792,30,4,0,23,0.575,,,,
13,caring,skirt,38,0.581600714,31,4,1,22,0.55,skirt,1,1.905327065,2.86525966
13,glue,force,85,1.081954321,32,4,0,29,0.725,,,,
13,pork,emperor,18,0.965201896,33,4,0,11,0.275,,,,
13,link,crisis,95,1.398571654,34,4,0,35,0.875,,,,
13,want,ascent,23,1.131854718,35,4,0,17,0.425,,,,
13,collect,loyalty,91,1.581884241,36,4,1,34,0.85,loyalty,1,3.522008127,5.226049763
13,smother,surgery,19,0.915165188,37,4,0,13,0.325,,,,
13,bacon,feud,86,0.681672526,38,4,1,30,0.75,feud,1,1.591523831,2.558520542
13,visit,glove,22,0.98178212,39,4,0,15,0.375,,,,
13,banner,glide,18,1.01513629,40,4,1,12,0.3, ,0,8.79660961,16.08443133
14,fee,chowder,9,1.34879846,1,4,1,1,0.025,idk,0,3.884244565,10.20423743
14,visit,glove,21,1.682180438,2,4,1,11,0.275,idk,0,4.933225074,6.357300201
14,risk,zero,71,1.248705511,3,4,1,39,0.975,zero,1,1.489182547,3.073191885
14,plant,worm,74,2.61582728,4,4,0,40,1,,,,
14,port,cinema,56,1.81544708,5,4,0,32,0.8,,,,
14,calf,annoy,12,2.5489154,6,4,1,5,0.125,annoy,1,2.391192983,4.743262947
14,bullet,walkway,51,2.248837333,7,4,1,25,0.625,walkway,1,1.594173451,5.282152149
14,forest,knob,67,3.615873145,8,4,0,36,0.9,,,,
14,capital,figure,56,1.715367922,9,4,0,30,0.75,,,,
14,collect,loyalty,68,2.615852939,10,4,1,37,0.925,idk,0,11.77652356,13.36858048
14,mill,feast,45,1.148475607,11,4,1,21,0.525,feast,1,1.458186009,3.121802265
14,chicken,beet,55,2.382468972,12,4,1,27,0.675,beet,1,1.452925943,2.700823521
14,process,joker,32,1.782276915,13,4,0,18,0.45,,,,
14,date,laugh,56,1.615367345,14,4,0,28,0.7,,,,
14,need,faucet,35,1.548660736,15,4,1,19,0.475,faucet,1,1.952746331,4.074199315
14,fan,feature,49,3.182528436,16,4,0,24,0.6,,,,
14,glue,force,47,5.149842583,17,4,0,22,0.55,,,,
14,bacon,feud,26,1.748829315,18,4,1,15,0.375,idk,0,2.794973879,3.955025159
14,anger,decay,30,2.349024258,19,4,1,17,0.425,calf,0,3.047401848,4.533751979
14,shrink,mafia,11,1.748895386,20,4,1,3,0.075,idk,0,3.294674954,4.622614047
14,prison,loaf,62,2.082252347,21,4,0,34,0.85,,,,
