subn,word1,word2,jol,jolrt,trial,list,practice,jolrank,jolrankp
12,date,laugh,100,2.965693788,8,1,1,37,0.925
12,fee,chowder,24,4.84954557,9,1,0,18,0.45
12,remind,foam,70,3.449119444,10,1,1,7,0.175
12,chicken,beet,39,2.748911834,11,1,0,14,0.35
12,port,cinema,26,11.21821114,12,1,0,12,0.3
12,bias,sirloin,29,4.48269631,13,1,1,27,0.675
12,process,joker,69,13.06862429,14,1,1,13,0.325
12,find,clown,88,1.615301003,15,1,0,30,0.75
12,banner,glide,33,2.582151995,16,1,0,6,0.15
12,mill,feast,55,7.13340011,17,1,1,11,0.275
12,bleach,ruin,58,4.049371027,18,1,0,16,0.4
12,bacon,feud,74,3.749236736,19,1,0,26,0.65
12,forest,knob,34,2.0820755,20,1,1,3,0.075
12,calf,annoy,37,6.23323907,21,1,1,5,0.125
12,visit,glove,75,5.466378071,22,1,1,21,0.525
12,glue,force,94,1.531957647,23,1,1,39,0.975
12,link,crisis,64,5.383042092,24,1,1,17,0.425
12,rock,milk,84,5.733294076,25,1,0,32,0.8
12,pork,emperor,100,4.916281066,26,1,0,34,0.85
12,fan,feature,79,7.183486692,27,1,0,24,0.6
12,grip,beach,29,5.516350793,28,1,0,28,0.7
12,plant,worm,89,5.799790946,29,1,0,10,0.25
12,caring,skirt,96,2.448823729,30,1,1,35,0.875
12,need,faucet,66,6.533422112,31,1,1,31,0.775
12,knock,otter,20,4.866206672,32,1,0,2,0.05
12,risk,zero,100,3.149051545,33,1,0,20,0.5
12,prison,loaf,75,6.083265739,34,1,1,33,0.825
12,biology,temper,42,4.482856676,35,1,0,4,0.1
12,nerve,bumper,71,11.28470224,36,1,1,25,0.625
12,replace,roach,65,8.633985287,37,1,1,9,0.225
12,capital,figure,77,40.80984207,38,1,1,29,0.725
12,collect,loyalty,74,4.165881353,39,1,0,36,0.9
12,anger,decay,82,2.898864959,40,1,1,19,0.475
12,chicken,beet,65,3.349360026,1,2,0,14,0.35
12,shrink,mafia,16,0.765078366,2,2,1,1,0.025
12,copy,bedroom,65,3.932657678,3,2,0,22,0.55
12,collect,loyalty,66,1.131859631,4,2,0,36,0.9
12,forest,knob,32,1.681937713,5,2,1,3,0.075
12,knock,otter,72,5.849857643,6,2,0,2,0.05
12,grip,beach,46,13.40201953,7,2,0,28,0.7
12,replace,roach,65,4.783111883,8,2,1,9,0.225
12,link,crisis,70,9.267431101,9,2,1,17,0.425
12,port,cinema,64,12.36841283,10,2,0,12,0.3
12,caring,skirt,100,0.931688424,11,2,1,35,0.875
12,prison,loaf,69,2.282132847,12,2,1,33,0.825
12,find,clown,82,1.398560423,13,2,0,30,0.75
12,mill,feast,68,3.549146033,14,2,1,11,0.275
12,anger,decay,93,14.45233062,15,2,1,19,0.475
12,remind,foam,69,9.584292244,16,2,1,7,0.175
12,risk,zero,88,1.248492476,17,2,0,20,0.5
12,banner,glide,74,3.799247304,18,2,0,6,0.15
12,bleach,ruin,7,0.881718909,19,2,0,16,0.4
12,fee,chowder,25,3.799211062,20,2,0,18,0.45
12,pea,bathtub,29,2.682253314,21,2,1,23,0.575
12,fan,feature,76,1.698647566,22,2,0,24,0.6
12,glue,force,100,0.981757044,23,2,1,39,0.975
12,want,ascent,33,4.182824058,24,2,0,8,0.2
12,bullet,walkway,74,1.348551459,25,2,0,38,0.95
12,calf,annoy,42,5.833206804,26,2,1,5,0.125
12,rock,milk,72,0.848401196,27,2,0,32,0.8
12,date,laugh,100,2.265525628,28,2,1,37,0.925
12,process,joker,71,1.582047756,29,2,1,13,0.325
12,climax,saucer,66,12.08507595,30,2,1,15,0.375
12,pork,emperor,80,4.682830954,31,2,0,34,0.85
12,biology,temper,68,2.365609307,32,2,0,4,0.1
12,plant,worm,71,2.065381362,33,2,0,10,0.25
12,capital,figure,83,2.098724414,34,2,1,29,0.725
12,bacon,feud,86,1.482033676,35,2,0,26,0.65
12,smother,surgery,96,1.115470831,36,2,0,40,1
12,visit,glove,81,2.282161071,37,2,1,21,0.525
12,bias,sirloin,71,1.182068732,38,2,1,27,0.675
12,need,faucet,66,3.632557385,39,2,1,31,0.775
12,nerve,bumper,81,1.515348824,40,2,1,25,0.625
12,calf,annoy,60,7.933775752,1,3,1,5,0.125
12,forest,knob,45,0.83172085,2,3,1,3,0.075
12,replace,roach,64,14.50236685,3,3,1,9,0.225
12,want,ascent,63,16.71961194,4,3,0,8,0.2
12,banner,glide,60,0.948364921,5,3,0,6,0.15
12,biology,temper,59,11.65150691,6,3,0,4,0.1
12,rock,milk,100,1.131790994,7,3,0,32,0.8
12,prison,loaf,100,1.448487601,8,3,1,33,0.825
12,process,joker,66,2.282041117,9,3,1,13,0.325
12,capital,figure,91,3.182410633,10,3,1,29,0.725
12,bacon,feud,82,1.181852238,11,3,0,26,0.65
12,visit,glove,78,3.68254903,12,3,1,21,0.525
12,pork,emperor,100,0.798376836,13,3,0,34,0.85
12,bias,sirloin,85,8.200408549,14,3,1,27,0.675
12,plant,worm,65,2.248743289,15,3,0,10,0.25
12,chicken,beet,66,5.816511705,16,3,0,14,0.35
12,fee,chowder,72,1.382163284,17,3,0,18,0.45
12,caring,skirt,100,1.665264423,18,3,1,35,0.875
12,climax,saucer,67,13.16860085,19,3,1,15,0.375
12,fan,feature,81,2.215379069,20,3,0,24,0.6
12,collect,loyalty,100,1.182040508,21,3,0,36,0.9
12,bleach,ruin,67,4.115996191,22,3,0,16,0.4
12,grip,beach,85,3.965937545,23,3,0,28,0.7
12,need,faucet,99,2.182125823,24,3,1,31,0.775
12,knock,otter,43,3.382486904,25,3,0,2,0.05
12,date,laugh,100,0.815061672,26,3,1,37,0.925
12,bullet,walkway,100,0.764993051,27,3,0,38,0.95
12,link,crisis,67,9.500827651,28,3,1,17,0.425
12,nerve,bumper,81,14.48562781,29,3,1,25,0.625
12,glue,force,100,0.84860454,30,3,1,39,0.975
12,remind,foam,61,1.048437053,31,3,1,7,0.175
12,copy,bedroom,80,17.93664727,32,3,0,22,0.55
12,smother,surgery,100,0.865056524,33,3,0,40,1
12,mill,feast,65,3.282433694,34,3,1,11,0.275
12,port,cinema,65,1.331862132,35,3,0,12,0.3
12,anger,decay,75,4.46615003,36,3,1,19,0.475
12,pea,bathtub,80,13.36860271,37,3,1,23,0.575
12,find,clown,91,4.065986906,38,3,0,30,0.75
12,shrink,mafia,4,2.165579543,39,3,1,1,0.025
12,risk,zero,77,1.081835913,40,3,0,20,0.5
13,nerve,bumper,13,9.615421228,1,1,0,23,0.575
13,bias,sirloin,6,3.895324726,2,1,0,9,0.225
13,find,clown,50,0.048264344,3,1,1,38,0.95
13,bullet,walkway,50,3.499238423,4,1,0,37,0.925
13,want,ascent,3,1.131880376,5,1,0,17,0.425
13,climax,saucer,4,1.948802564,6,1,0,5,0.125
13,anger,decay,50,1.381832346,7,1,1,40,1
13,plant,worm,82,2.182219534,8,1,1,26,0.65
13,copy,bedroom,25,1.398623291,9,1,1,24,0.6
13,capital,figure,81,1.665392186,10,1,1,32,0.8
13,bleach,ruin,77,1.465309181,11,1,1,36,0.9
13,visit,glove,6,0.948503001,12,1,0,15,0.375
13,glue,force,43,0.998349515,13,1,0,29,0.725
13,process,joker,6,1.398522261,14,1,0,7,0.175
13,remind,foam,7,1.948769208,15,1,1,10,0.25
13,chicken,beet,64,0.865169213,16,1,0,31,0.775
13,mill,feast,8,1.065371531,17,1,0,1,0.025
13,need,faucet,22,1.698689587,18,1,1,4,0.1
13,knock,otter,46,1.048532797,19,1,1,8,0.2
13,banner,glide,4,6.233550073,20,1,1,12,0.3
13,prison,loaf,1,1.131663241,21,1,0,3,0.075
13,pea,bathtub,8,1.531974222,22,1,1,6,0.15
13,caring,skirt,6,4.249544,23,1,1,22,0.55
13,fan,feature,6,2.048637676,24,1,1,28,0.7
13,smother,surgery,4,1.231657756,25,1,0,13,0.325
13,port,cinema,12,0.948501718,26,1,1,14,0.35
13,fee,chowder,8,1.348775174,27,1,1,2,0.05
13,replace,roach,6,1.265202762,28,1,0,21,0.525
13,biology,temper,22,0.848436642,29,1,1,20,0.5
13,bacon,feud,12,2.115442557,30,1,1,30,0.75
13,rock,milk,34,0.781754922,31,1,0,39,0.975
13,collect,loyalty,99,1.115125032,32,1,1,34,0.85
13,forest,knob,10,2.415562414,33,1,0,19,0.475
13,pork,emperor,13,1.198627204,34,1,0,11,0.275
